brand,machine_model,component_type,primary_part_number,alternate_part_numbers,product_name,compatible_models,serial_notes,chassis_mount_notes,supersession_notes,researched_vs_verified,publish_status,generated_component_url,component_page_in_sitemap,standalone_part_page_in_sitemap,generates_product_schema,generates_parts_slug
Bobcat,220,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-220,YES,NO,NO,NO
Bobcat,225,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-225,YES,NO,NO,NO
Bobcat,225,bottom-roller,7013575,6814882; 6815119; 7013581; 7019167,Bobcat 7013575 Bottom Roller,"Bobcat 225, 231, 325, 331, 328, 334, 335, 430, E26, E32, E37, E42, E50 mini excavators. The same part is also known to be the top carrier roller for Bobcat 337, 442.",,,,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-225,YES,NO,NO,NO
Bobcat,231,bottom-roller,6814882,6815119; 7013575; 7013581; 7019167; 6810770,Bobcat 331/335/430 Mini Excavator Bottom Roller,"Bobcat 225, 231, 325, 328, 331, 334, 335, 430, E26, E32, E37, E42, E50. Also upper/carrier roller for Bobcat 337, 442, ZX75.",Steel track machines may use alternate roller 6814886.,Bottom center roller; older nut/stud vs newer bolt style can matter. 7013575 is newer bolt style.,Shaft threading 3/4 UNC; max torque 425 Nm / 310 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-231,YES,NO,NO,NO
Bobcat,231,bottom-roller,7013575,6814882; 6815119; 7013581; 7019167,Bobcat 7013575 Bottom Roller,"Bobcat 225, 231, 325, 331, 328, 334, 335, 430, E26, E32, E37, E42, E50 mini excavators. The same part is also known to be the top carrier roller for Bobcat 337, 442.",,,,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-231,YES,NO,NO,NO
Bobcat,320,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-320,YES,NO,NO,NO
Bobcat,320D,bottom-roller,6800510,6815115; 6814878; 6533654,Bobcat 6800510 Bottom Roller,"Bobcat 220; Bobcat mini excavators 220, 320, 320D, 320J, 322, 322D, 322G, 323",,Nut mounted,"Source was Summit Rubber Tracks / Parts ASAP, not RubberTrax.",researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-320d,YES,NO,NO,NO
Bobcat,320D,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-320d,YES,NO,NO,NO
Bobcat,320E,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-320e,YES,NO,NO,NO
Bobcat,320G,bottom-roller,6814874,6815111; 7136983,Bobcat 320/322 Bottom Track Roller; Bobcat 335/430 Carrier Roller,"Bottom roller: Bobcat 320D, 320E, 320G, 320J, 320L, 322D, 322E, 322G, 322J, 322L. Top/carrier roller: Bobcat 335, 430.",Does not fit serial numbers 511720000-5117300000; rubber-track-original undercarriages only; verify serial.,Bottom roller for Bobcat 320/322; carrier/top roller on Bobcat 335/430; phased out/replaced by 7136983 bolt-type installation.,Shaft threading M16; max torque 250 Nm / 185 ft-lb noted by RubberTrax.,researched,staged,https://rubbertrackwholesale.com/bottom-rollers/bobcat-320g,YES,NO,NO,NO
